"id_candidato";"theta_gerado";"theta_estimado";"se_theta";"acertos";"percentual";"nota_enamed";"classificacao"
39;-1,6839;-1,5271;0,2254;24;24;34,7;"REPROVADO"
40;0,0251;-0,202;0,2055;54;54;48;"REPROVADO"
41;0,1435;0,0546;0,2085;60;60;50,5;"REPROVADO"
42;-0,252;-0,2442;0,2052;53;53;47,6;"REPROVADO"
43;0,5286;1,0308;0,2401;80;80;60,3;"LIMITE"
44;-0,507;-0,7919;0,2069;40;40;42,1;"REPROVADO"
45;-0,9545;-1,1897;0,2145;31;31;38,1;"REPROVADO"
46;0,3017;0,4611;0,2176;69;69;54,6;"REPROVADO"
47;-0,5661;-0,5799;0,2051;45;45;44,2;"REPROVADO"
48;1,0071;1,406;0,2614;86;86;64,1;"LIMITE"
49;-0,3011;-0,2442;0,2052;53;53;47,6;"REPROVADO"
50;0,4571;0,6558;0,224;73;73;56,6;"REPROVADO"
51;0,2244;0,1864;0,2108;63;63;51,9;"REPROVADO"
52;-0,5468;-0,7066;0,206;42;42;42,9;"REPROVADO"
53;1,0989;0,7064;0,2259;74;74;57,1;"REPROVADO"
54;0,4482;0,7064;0,2259;74;74;57,1;"REPROVADO"
55;0,0625;-0,3282;0,2049;51;51;46,7;"REPROVADO"
56;0,1927;0,2761;0,2128;65;65;52,8;"REPROVADO"
57;0,4736;0,3675;0,215;67;67;53,7;"REPROVADO"
58;0,0625;0,0982;0,2092;61;61;51;"REPROVADO"
59;-2,0877;-2,0932;0,2534;14;14;29,1;"REPROVADO"
60;0,1986;0,0113;0,2078;59;59;50,1;"REPROVADO"
61;-0,2563;-0,2442;0,2052;53;53;47,6;"REPROVADO"
62;0,129;-0,1172;0,2062;56;56;48,8;"REPROVADO"
63;0,4057;0,557;0,2206;71;71;55,6;"REPROVADO"
64;0,9761;0,9182;0,2347;78;78;59,2;"REPROVADO"
65;-0,5074;-0,622;0,2053;44;44;43,8;"REPROVADO"
66;0,9083;0,9182;0,2347;78;78;59,2;"REPROVADO"
67;0,2341;0,3215;0,2138;66;66;53,2;"REPROVADO"
68;0,7242;0,557;0,2206;71;71;55,6;"REPROVADO"
69;0,642;0,557;0,2206;71;71;55,6;"REPROVADO"
70;0,5026;0,4611;0,2176;69;69;54,6;"REPROVADO"
71;-0,7277;-0,9652;0,2096;36;36;40,3;"REPROVADO"
72;-0,063;-0,0746;0,2067;57;57;49,3;"REPROVADO"
73;0,4347;0,414;0,2163;68;68;54,1;"REPROVADO"
74;-0,6652;-0,878;0,2081;38;38;41,2;"REPROVADO"
75;-0,3787;-0,3702;0,2047;50;50;46,3;"REPROVADO"
76;0,4051;0,3215;0,2138;66;66;53,2;"REPROVADO"
77;0,5356;0,231;0,2117;64;64;52,3;"REPROVADO"
78;0,3233;0,4611;0,2176;69;69;54,6;"REPROVADO"
79;-0,6179;-0,7491;0,2064;41;41;42,5;"REPROVADO"
80;-0,7672;-0,878;0,2081;38;38;41,2;"REPROVADO"
81;1,0549;0,9182;0,2347;78;78;59,2;"REPROVADO"
82;0,1797;0,231;0,2117;64;64;52,3;"REPROVADO"
83;0,0615;0,0113;0,2078;59;59;50,1;"REPROVADO"
84;-0,0845;0,0546;0,2085;60;60;50,5;"REPROVADO"
85;-0,8331;-0,878;0,2081;38;38;41,2;"REPROVADO"
86;0,4267;0,4611;0,2176;69;69;54,6;"REPROVADO"
87;-0,1516;-0,2442;0,2052;53;53;47,6;"REPROVADO"
88;-0,1276;-0,2862;0,205;52;52;47,1;"REPROVADO"
89;0,6508;0,3675;0,215;67;67;53,7;"REPROVADO"
90;0,573;0,6061;0,2222;72;72;56,1;"REPROVADO"
91;0,9708;0,9739;0,2373;79;79;59,7;"REPROVADO"
92;-0,3323;-0,454;0,2047;48;48;45,5;"REPROVADO"
93;0,4534;0,0982;0,2092;61;61;51;"REPROVADO"
94;0,9701;1,0892;0,243;81;81;60,9;"LIMITE"
95;-0,7749;-0,622;0,2053;44;44;43,8;"REPROVADO"
96;-0,6005;-0,454;0,2047;48;48;45,5;"REPROVADO"
97;-0,7895;-0,7491;0,2064;41;41;42,5;"REPROVADO"
98;-1,0179;-1,1897;0,2145;31;31;38,1;"REPROVADO"
99;0,0556;0,1421;0,21;62;62;51,4;"REPROVADO"
100;0,4554;0,6558;0,224;73;73;56,6;"REPROVADO"
101;0,8375;1,0308;0,2401;80;80;60,3;"LIMITE"
102;0,7285;0,1864;0,2108;63;63;51,9;"REPROVADO"
103;-0,6998;-0,878;0,2081;38;38;41,2;"REPROVADO"
104;1,2891;0,9182;0,2347;78;78;59,2;"REPROVADO"
105;-0,4652;-0,0746;0,2067;57;57;49,3;"REPROVADO"
106;0,0734;0,231;0,2117;64;64;52,3;"REPROVADO"
107;-0,2946;-0,202;0,2055;54;54;48;"REPROVADO"
108;-0,0855;-0,0746;0,2067;57;57;49,3;"REPROVADO"
109;0,1311;0,1421;0,21;62;62;51,4;"REPROVADO"
110;0,083;-0,2442;0,2052;53;53;47,6;"REPROVADO"
111;-0,0176;-0,0746;0,2067;57;57;49,3;"REPROVADO"
112;0,0752;0,231;0,2117;64;64;52,3;"REPROVADO"
113;-0,3387;-0,3282;0,2049;51;51;46,7;"REPROVADO"
114;-0,3518;-0,1172;0,2062;56;56;48,8;"REPROVADO"
115;-1,1587;-1,0093;0,2104;35;35;39,9;"REPROVADO"
116;-0,2668;-0,1172;0,2062;56;56;48,8;"REPROVADO"
117;-0,3577;-0,2862;0,205;52;52;47,1;"REPROVADO"
118;1,8843;1,7815;0,2882;91;91;67,8;"LIMITE"
119;-0,9502;-1,0093;0,2104;35;35;39,9;"REPROVADO"
120;0,0956;0,0982;0,2092;61;61;51;"REPROVADO"
121;-1,0419;-0,7491;0,2064;41;41;42,5;"REPROVADO"
122;-1,0257;-1,1439;0,2134;32;32;38,6;"REPROVADO"
123;0,0868;0,0546;0,2085;60;60;50,5;"REPROVADO"
124;-0,6953;-0,8348;0,2075;39;39;41,7;"REPROVADO"
125;-0,0014;-0,3282;0,2049;51;51;46,7;"REPROVADO"
126;-0,2988;0,0546;0,2085;60;60;50,5;"REPROVADO"
127;-0,4281;-0,0318;0,2072;58;58;49,7;"REPROVADO"
128;-1,4123;-1,4271;0,2217;26;26;35,7;"REPROVADO"
129;-0,8543;-0,878;0,2081;38;38;41,2;"REPROVADO"
130;0,1251;0,231;0,2117;64;64;52,3;"REPROVADO"
131;0,3957;0,7064;0,2259;74;74;57,1;"REPROVADO"
132;-0,3439;-0,7919;0,2069;40;40;42,1;"REPROVADO"
133;-1e-04;-0,4959;0,2048;47;47;45;"REPROVADO"
134;0,783;0,4611;0,2176;69;69;54,6;"REPROVADO"
135;1,0041;1,0308;0,2401;80;80;60,3;"LIMITE"
136;-0,7653;-0,7919;0,2069;40;40;42,1;"REPROVADO"
137;-0,082;0,0982;0,2092;61;61;51;"REPROVADO"
138;0,8378;0,8637;0,2323;77;77;58,6;"REPROVADO"
139;-0,3278;-0,4959;0,2048;47;47;45;"REPROVADO"
140;-0,0367;0,0113;0,2078;59;59;50,1;"REPROVADO"
141;-0,0602;0,2761;0,2128;65;65;52,8;"REPROVADO"
142;-0,6193;-0,7066;0,206;42;42;42,9;"REPROVADO"
143;-0,3103;-0,2862;0,205;52;52;47,1;"REPROVADO"
144;-0,0207;0,2761;0,2128;65;65;52,8;"REPROVADO"
145;-0,2888;-0,6642;0,2056;43;43;43,4;"REPROVADO"
146;0,7764;0,7064;0,2259;74;74;57,1;"REPROVADO"
147;-0,3356;-0,7066;0,206;42;42;42,9;"REPROVADO"
148;-0,3023;-0,2442;0,2052;53;53;47,6;"REPROVADO"
149;0,4859;0,8637;0,2323;77;77;58,6;"REPROVADO"
150;-0,7369;-0,8348;0,2075;39;39;41,7;"REPROVADO"
151;-0,0285;-0,1597;0,2058;55;55;48,4;"REPROVADO"
152;-1,0823;-0,9652;0,2096;36;36;40,3;"REPROVADO"
153;0,8139;0,5087;0,219;70;70;55,1;"REPROVADO"
154;-0,191;-0,0746;0,2067;57;57;49,3;"REPROVADO"
155;-0,3264;-0,3702;0,2047;50;50;46,3;"REPROVADO"
156;-0,8638;-0,9652;0,2096;36;36;40,3;"REPROVADO"
157;-0,0056;0,0546;0,2085;60;60;50,5;"REPROVADO"
158;-0,5583;-0,6642;0,2056;43;43;43,4;"REPROVADO"
159;-0,3722;-0,5379;0,2049;46;46;44,6;"REPROVADO"
160;0,898;0,9739;0,2373;79;79;59,7;"REPROVADO"
161;-0,1226;-0,1597;0,2058;55;55;48,4;"REPROVADO"
162;-0,7477;-0,4121;0,2047;49;49;45,9;"REPROVADO"
163;0,1137;-0,0746;0,2067;57;57;49,3;"REPROVADO"
164;-0,2531;-0,202;0,2055;54;54;48;"REPROVADO"
165;0,4114;0,6558;0,224;73;73;56,6;"REPROVADO"
166;0,9989;0,7579;0,2279;75;75;57,6;"REPROVADO"
167;-0,6925;-0,454;0,2047;48;48;45,5;"REPROVADO"
168;0,317;0,231;0,2117;64;64;52,3;"REPROVADO"
169;0,0591;0,1421;0,21;62;62;51,4;"REPROVADO"
170;0,6245;0,231;0,2117;64;64;52,3;"REPROVADO"
171;-0,1604;-0,2442;0,2052;53;53;47,6;"REPROVADO"
172;0,5834;0,5087;0,219;70;70;55,1;"REPROVADO"
173;-1,2172;-0,878;0,2081;38;38;41,2;"REPROVADO"
174;1,1782;1,0308;0,2401;80;80;60,3;"LIMITE"
175;0,603;0,557;0,2206;71;71;55,6;"REPROVADO"
176;-0,1053;-0,0318;0,2072;58;58;49,7;"REPROVADO"
177;-1,0108;-0,8348;0,2075;39;39;41,7;"REPROVADO"
178;0,4483;0,0546;0,2085;60;60;50,5;"REPROVADO"
179;0,3369;0,1864;0,2108;63;63;51,9;"REPROVADO"
180;-0,0046;-0,0746;0,2067;57;57;49,3;"REPROVADO"
181;0,1055;-0,2442;0,2052;53;53;47,6;"REPROVADO"
182;-0,4075;-0,1172;0,2062;56;56;48,8;"REPROVADO"
183;0,2571;0,0113;0,2078;59;59;50,1;"REPROVADO"
184;0,2054;0,1864;0,2108;63;63;51,9;"REPROVADO"
185;-0,1949;-0,4121;0,2047;49;49;45,9;"REPROVADO"
186;-0,9321;-1,1439;0,2134;32;32;38,6;"REPROVADO"
187;0,4886;0,3675;0,215;67;67;53,7;"REPROVADO"
188;0,3864;0,414;0,2163;68;68;54,1;"REPROVADO"
189;-0,5834;-0,7491;0,2064;41;41;42,5;"REPROVADO"
190;-1,1123;-0,9652;0,2096;36;36;40,3;"REPROVADO"
191;0,1428;-0,3702;0,2047;50;50;46,3;"REPROVADO"
192;-0,2408;-0,2442;0,2052;53;53;47,6;"REPROVADO"
193;0,176;-0,1172;0,2062;56;56;48,8;"REPROVADO"
194;-0,9026;-1,1439;0,2134;32;32;38,6;"REPROVADO"
195;-0,6691;-0,8348;0,2075;39;39;41,7;"REPROVADO"
196;0,7571;0,4611;0,2176;69;69;54,6;"REPROVADO"
197;0,2815;-0,202;0,2055;54;54;48;"REPROVADO"
198;0,4089;0,2761;0,2128;65;65;52,8;"REPROVADO"
199;1,2659;1,2105;0,2496;83;83;62,1;"LIMITE"
200;0,0897;0,0982;0,2092;61;61;51;"REPROVADO"
201;-1,3957;-1,236;0,2158;30;30;37,6;"REPROVADO"
202;0,2327;0,2761;0,2128;65;65;52,8;"REPROVADO"
203;0,8168;0,8637;0,2323;77;77;58,6;"REPROVADO"
204;1,4363;1,3388;0,2572;85;85;63,4;"LIMITE"
205;-0,9604;-0,7919;0,2069;40;40;42,1;"REPROVADO"
206;-0,8028;-0,622;0,2053;44;44;43,8;"REPROVADO"
207;-0,4924;-0,454;0,2047;48;48;45,5;"REPROVADO"
208;-0,7353;-0,622;0,2053;44;44;43,8;"REPROVADO"
209;-0,4505;-0,2442;0,2052;53;53;47,6;"REPROVADO"
210;-0,1294;0,0982;0,2092;61;61;51;"REPROVADO"
211;-0,8379;-0,7491;0,2064;41;41;42,5;"REPROVADO"
212;1,4206;1,0308;0,2401;80;80;60,3;"LIMITE"
213;0,075;0,0982;0,2092;61;61;51;"REPROVADO"
214;-0,0588;-0,1597;0,2058;55;55;48,4;"REPROVADO"
215;0,3455;-0,0318;0,2072;58;58;49,7;"REPROVADO"
216;0,026;0,0113;0,2078;59;59;50,1;"REPROVADO"
217;-0,0923;-0,2442;0,2052;53;53;47,6;"REPROVADO"
218;1,0298;0,9182;0,2347;78;78;59,2;"REPROVADO"
219;-0,1515;-0,1172;0,2062;56;56;48,8;"REPROVADO"
220;-0,8954;-0,3282;0,2049;51;51;46,7;"REPROVADO"
221;0,2688;0,2761;0,2128;65;65;52,8;"REPROVADO"
222;-0,2453;-0,1597;0,2058;55;55;48,4;"REPROVADO"
223;-0,3641;-0,2442;0,2052;53;53;47,6;"REPROVADO"
224;-0,7451;-0,622;0,2053;44;44;43,8;"REPROVADO"
225;0,2986;0,4611;0,2176;69;69;54,6;"REPROVADO"
226;-0,1215;-0,1597;0,2058;55;55;48,4;"REPROVADO"
227;0,3595;0,1864;0,2108;63;63;51,9;"REPROVADO"
228;-0,1636;-0,3282;0,2049;51;51;46,7;"REPROVADO"
229;-0,4594;-0,7066;0,206;42;42;42,9;"REPROVADO"
230;0,8718;0,7064;0,2259;74;74;57,1;"REPROVADO"
231;-0,1897;0,0113;0,2078;59;59;50,1;"REPROVADO"
232;0,661;0,4611;0,2176;69;69;54,6;"REPROVADO"
233;-0,8382;-1,0537;0,2113;34;34;39,5;"REPROVADO"
234;-0,3252;-0,3702;0,2047;50;50;46,3;"REPROVADO"
235;-0,188;-0,0318;0,2072;58;58;49,7;"REPROVADO"
236;-0,2728;-0,2862;0,205;52;52;47,1;"REPROVADO"
237;0,9405;0,7064;0,2259;74;74;57,1;"REPROVADO"
238;-0,016;-0,1172;0,2062;56;56;48,8;"REPROVADO"
239;0,1702;-0,1172;0,2062;56;56;48,8;"REPROVADO"
240;-0,6574;-0,4959;0,2048;47;47;45;"REPROVADO"
241;-0,5087;-0,5379;0,2049;46;46;44,6;"REPROVADO"
242;0,696;0,7579;0,2279;75;75;57,6;"REPROVADO"
243;0,8776;1,0308;0,2401;80;80;60,3;"LIMITE"
244;0,8709;1,0892;0,243;81;81;60,9;"LIMITE"
245;-0,9631;-0,454;0,2047;48;48;45,5;"REPROVADO"
246;1,4296;1,2737;0,2533;84;84;62,7;"LIMITE"
247;0,7091;0,3675;0,215;67;67;53,7;"REPROVADO"
248;-0,0188;0,1864;0,2108;63;63;51,9;"REPROVADO"
249;0,4906;0,7064;0,2259;74;74;57,1;"REPROVADO"
250;-0,6776;-0,622;0,2053;44;44;43,8;"REPROVADO"
251;-0,7647;-0,622;0,2053;44;44;43,8;"REPROVADO"
252;0,0341;0,1864;0,2108;63;63;51,9;"REPROVADO"
253;-0,836;-0,5799;0,2051;45;45;44,2;"REPROVADO"
254;0,1324;0,0113;0,2078;59;59;50,1;"REPROVADO"
255;0,9049;1,0308;0,2401;80;80;60,3;"LIMITE"
256;-0,7212;-1,0537;0,2113;34;34;39,5;"REPROVADO"
257;-0,5152;-0,4959;0,2048;47;47;45;"REPROVADO"
258;0,0323;0,0546;0,2085;60;60;50,5;"REPROVADO"
259;-0,7099;-0,5799;0,2051;45;45;44,2;"REPROVADO"
260;-0,2675;-0,3702;0,2047;50;50;46,3;"REPROVADO"
261;0,6086;0,6061;0,2222;72;72;56,1;"REPROVADO"
262;0,6761;0,414;0,2163;68;68;54,1;"REPROVADO"
263;0,2676;0,0982;0,2092;61;61;51;"REPROVADO"
264;-1,2915;-1,0986;0,2123;33;33;39;"REPROVADO"
265;-0,0378;0,0982;0,2092;61;61;51;"REPROVADO"
266;0,7425;0,7579;0,2279;75;75;57,6;"REPROVADO"
267;0,567;0,2761;0,2128;65;65;52,8;"REPROVADO"
268;-0,1332;-0,2442;0,2052;53;53;47,6;"REPROVADO"
269;-1,8832;-1,7381;0,2344;20;20;32,6;"REPROVADO"
270;0,0424;-0,1172;0,2062;56;56;48,8;"REPROVADO"
271;0,4;0,4611;0,2176;69;69;54,6;"REPROVADO"
272;0,0318;-0,0746;0,2067;57;57;49,3;"REPROVADO"
273;0,1096;0,1421;0,21;62;62;51,4;"REPROVADO"
274;0,3009;0,3215;0,2138;66;66;53,2;"REPROVADO"
275;-0,2767;-0,1597;0,2058;55;55;48,4;"REPROVADO"
276;0,9135;0,5087;0,219;70;70;55,1;"REPROVADO"
277;0,3279;0,0546;0,2085;60;60;50,5;"REPROVADO"
278;-0,8668;-0,7066;0,206;42;42;42,9;"REPROVADO"
279;0,9634;0,9182;0,2347;78;78;59,2;"REPROVADO"
280;0,8399;0,7579;0,2279;75;75;57,6;"REPROVADO"
281;0,5746;0,6558;0,224;73;73;56,6;"REPROVADO"
282;-1,1597;-1,2828;0,2171;29;29;37,2;"REPROVADO"
283;-0,3972;-0,202;0,2055;54;54;48;"REPROVADO"
284;0,4431;0,6061;0,2222;72;72;56,1;"REPROVADO"
285;0,0304;0,1864;0,2108;63;63;51,9;"REPROVADO"
286;0,2426;0,0982;0,2092;61;61;51;"REPROVADO"
287;1,7153;1,5476;0,2709;88;88;65,5;"LIMITE"
288;-0,5709;-0,2442;0,2052;53;53;47,6;"REPROVADO"
289;-1,474;-1,5783;0,2274;23;23;34,2;"REPROVADO"
290;0,1907;0,1864;0,2108;63;63;51,9;"REPROVADO"
291;-0,4797;-0,2862;0,205;52;52;47,1;"REPROVADO"
292;0,311;0,2761;0,2128;65;65;52,8;"REPROVADO"
293;-0,5667;-0,4121;0,2047;49;49;45,9;"REPROVADO"
294;1,5427;1,3388;0,2572;85;85;63,4;"LIMITE"
295;-0,0864;-0,1172;0,2062;56;56;48,8;"REPROVADO"
296;-0,3331;-0,0746;0,2067;57;57;49,3;"REPROVADO"
297;-0,1161;-0,5379;0,2049;46;46;44,6;"REPROVADO"
298;0,6015;0,557;0,2206;71;71;55,6;"REPROVADO"
299;0,0677;0,3215;0,2138;66;66;53,2;"REPROVADO"
300;-1,1339;-0,7066;0,206;42;42;42,9;"REPROVADO"
301;-0,0034;0,0113;0,2078;59;59;50,1;"REPROVADO"
302;0,5301;0,1864;0,2108;63;63;51,9;"REPROVADO"
303;0,0271;0,0546;0,2085;60;60;50,5;"REPROVADO"
304;0,5125;0,3675;0,215;67;67;53,7;"REPROVADO"
305;-0,1023;-0,0318;0,2072;58;58;49,7;"REPROVADO"
306;-0,0405;0,231;0,2117;64;64;52,3;"REPROVADO"
307;0,3363;-0,1172;0,2062;56;56;48,8;"REPROVADO"
308;0,6924;1,0308;0,2401;80;80;60,3;"LIMITE"
309;-0,8694;-0,7919;0,2069;40;40;42,1;"REPROVADO"
310;-0,0235;0,0546;0,2085;60;60;50,5;"REPROVADO"
311;-0,0496;0,0113;0,2078;59;59;50,1;"REPROVADO"
312;-0,5295;-0,3282;0,2049;51;51;46,7;"REPROVADO"
313;-0,7216;-0,7919;0,2069;40;40;42,1;"REPROVADO"
314;-0,44;-0,5799;0,2051;45;45;44,2;"REPROVADO"
315;0,4091;0,231;0,2117;64;64;52,3;"REPROVADO"
316;-0,2905;0,0546;0,2085;60;60;50,5;"REPROVADO"
317;-0,5476;-0,5799;0,2051;45;45;44,2;"REPROVADO"
318;0,1138;0,414;0,2163;68;68;54,1;"REPROVADO"
319;-0,8627;-1,0093;0,2104;35;35;39,9;"REPROVADO"
320;0,7293;0,8103;0,23;76;76;58,1;"REPROVADO"
321;-0,3381;-0,5799;0,2051;45;45;44,2;"REPROVADO"
322;0,1318;0,1421;0,21;62;62;51,4;"REPROVADO"
323;0,0354;0,1864;0,2108;63;63;51,9;"REPROVADO"
324;-3e-04;-0,2862;0,205;52;52;47,1;"REPROVADO"
325;1,2618;1,2105;0,2496;83;83;62,1;"LIMITE"
326;-0,5758;-0,4959;0,2048;47;47;45;"REPROVADO"
327;0,7988;0,414;0,2163;68;68;54,1;"REPROVADO"
328;0,0219;0,1864;0,2108;63;63;51,9;"REPROVADO"
329;-0,5827;-0,5799;0,2051;45;45;44,2;"REPROVADO"
330;-0,0481;0,1864;0,2108;63;63;51,9;"REPROVADO"
331;0,5207;0,8103;0,23;76;76;58,1;"REPROVADO"
332;-0,2969;-0,202;0,2055;54;54;48;"REPROVADO"
333;-0,5386;-0,6642;0,2056;43;43;43,4;"REPROVADO"
334;0,1064;-0,0318;0,2072;58;58;49,7;"REPROVADO"
335;0,6894;0,7064;0,2259;74;74;57,1;"REPROVADO"
336;-0,0514;0,0113;0,2078;59;59;50,1;"REPROVADO"
337;-0,9675;-1,0537;0,2113;34;34;39,5;"REPROVADO"
338;-0,9115;-0,7919;0,2069;40;40;42,1;"REPROVADO"
339;-0,5361;-0,0746;0,2067;57;57;49,3;"REPROVADO"
340;-0,3678;-0,4121;0,2047;49;49;45,9;"REPROVADO"
341;-0,0151;0,0546;0,2085;60;60;50,5;"REPROVADO"
342;0,4675;0,4611;0,2176;69;69;54,6;"REPROVADO"
343;-0,3033;-0,1172;0,2062;56;56;48,8;"REPROVADO"
344;-0,777;-0,8348;0,2075;39;39;41,7;"REPROVADO"
345;0,4233;0,2761;0,2128;65;65;52,8;"REPROVADO"
346;0,192;0,0113;0,2078;59;59;50,1;"REPROVADO"
347;0,8071;0,8637;0,2323;77;77;58,6;"REPROVADO"
348;-1,1736;-1,236;0,2158;30;30;37,6;"REPROVADO"
349;0,0608;0,0113;0,2078;59;59;50,1;"REPROVADO"
350;0,9438;0,7579;0,2279;75;75;57,6;"REPROVADO"
351;0,5049;0,557;0,2206;71;71;55,6;"REPROVADO"
352;-0,5808;-0,454;0,2047;48;48;45,5;"REPROVADO"
353;0,5108;0,6061;0,2222;72;72;56,1;"REPROVADO"
354;-0,6083;-0,4959;0,2048;47;47;45;"REPROVADO"
355;-0,3164;-0,0746;0,2067;57;57;49,3;"REPROVADO"
356;0,8281;0,7579;0,2279;75;75;57,6;"REPROVADO"
357;-0,2025;-0,0318;0,2072;58;58;49,7;"REPROVADO"
358;0,5777;0,7579;0,2279;75;75;57,6;"REPROVADO"
359;-0,2033;0,0546;0,2085;60;60;50,5;"REPROVADO"
360;-1,0996;-1,0537;0,2113;34;34;39,5;"REPROVADO"
361;-0,5922;-0,7919;0,2069;40;40;42,1;"REPROVADO"
362;-0,7593;-0,6642;0,2056;43;43;43,4;"REPROVADO"
363;-0,3379;-0,2442;0,2052;53;53;47,6;"REPROVADO"
364;-0,2347;-0,622;0,2053;44;44;43,8;"REPROVADO"
365;-0,1071;0,0546;0,2085;60;60;50,5;"REPROVADO"
366;-0,1698;0,0546;0,2085;60;60;50,5;"REPROVADO"
367;1,3196;0,8637;0,2323;77;77;58,6;"REPROVADO"
368;-0,9668;-0,878;0,2081;38;38;41,2;"REPROVADO"
369;-0,2895;-0,202;0,2055;54;54;48;"REPROVADO"
370;0,2433;0,1421;0,21;62;62;51,4;"REPROVADO"
371;1,1356;1,2105;0,2496;83;83;62,1;"LIMITE"
372;0,0616;0,3675;0,215;67;67;53,7;"REPROVADO"
373;0,8641;0,8103;0,23;76;76;58,1;"REPROVADO"
374;-1,1471;-1,0986;0,2123;33;33;39;"REPROVADO"
375;1,0086;0,7064;0,2259;74;74;57,1;"REPROVADO"
376;-0,4818;-0,6642;0,2056;43;43;43,4;"REPROVADO"
377;-0,1929;-0,3282;0,2049;51;51;46,7;"REPROVADO"
378;-0,7739;-0,2862;0,205;52;52;47,1;"REPROVADO"
379;0,0932;0,0982;0,2092;61;61;51;"REPROVADO"
380;1,245;1,2737;0,2533;84;84;62,7;"LIMITE"
381;1,6892;1,6224;0,2762;89;89;66,2;"LIMITE"
382;-0,7512;-0,7919;0,2069;40;40;42,1;"REPROVADO"
383;0,3388;-0,1597;0,2058;55;55;48,4;"REPROVADO"
384;0,9683;0,557;0,2206;71;71;55,6;"REPROVADO"
385;-0,1366;-0,1597;0,2058;55;55;48,4;"REPROVADO"
386;-0,1523;-0,2862;0,205;52;52;47,1;"REPROVADO"
387;-0,2127;-0,1597;0,2058;55;55;48,4;"REPROVADO"
388;0,4168;0,4611;0,2176;69;69;54,6;"REPROVADO"
389;0,9745;1,3388;0,2572;85;85;63,4;"LIMITE"
390;0,4794;0,5087;0,219;70;70;55,1;"REPROVADO"
391;0,2232;0,231;0,2117;64;64;52,3;"REPROVADO"
392;-0,2107;0,0982;0,2092;61;61;51;"REPROVADO"
393;0,3474;0,0982;0,2092;61;61;51;"REPROVADO"
394;-0,3834;-0,3702;0,2047;50;50;46,3;"REPROVADO"
395;-0,1949;-0,1597;0,2058;55;55;48,4;"REPROVADO"
396;0,7646;0,7064;0,2259;74;74;57,1;"REPROVADO"
397;0,3081;0,5087;0,219;70;70;55,1;"REPROVADO"
398;0,168;-0,2862;0,205;52;52;47,1;"REPROVADO"
399;-0,1784;-0,0746;0,2067;57;57;49,3;"REPROVADO"
400;0,6492;1,0308;0,2401;80;80;60,3;"LIMITE"
401;0,9309;0,9182;0,2347;78;78;59,2;"REPROVADO"
402;-0,6064;-0,7066;0,206;42;42;42,9;"REPROVADO"
403;0,0386;0,1421;0,21;62;62;51,4;"REPROVADO"
